Date	USGG10YR Index	GDBR10 Index	GUKG10 Index
01-Jan-1980	10.31	7.851	14.801
08-Jan-1980	10.553	7.951	14.697
15-Jan-1980	10.63	8.126	14.132
22-Jan-1980	10.827	8.146	13.836
29-Jan-1980	11.186	8.1	13.982
05-Feb-1980	11.707	8.145	14.535
12-Feb-1980	11.983	8.174	14.331
19-Feb-1980	12.825	8.312	14.23
26-Feb-1980	13.636	8.729	14.205
04-Mar-1980	12.904	9.011	14.485
11-Mar-1980	12.38	9.244	14.358
18-Mar-1980	12.37	9.269	14.308
25-Mar-1980	13.065	9.681	14.157
01-Apr-1980	12.654	9.754	14.008
08-Apr-1980	12.172	9.76	13.935
15-Apr-1980	11.539	9.54	13.451
22-Apr-1980	10.782	8.895	13.38
29-Apr-1980	10.625	8.935	13.334
06-May-1980	9.711	8.921	13.008
13-May-1980	10.078	8.639	13.031
20-May-1980	10.179	8.519	13.194
27-May-1980	9.92	8.281	12.802
03-Jun-1980	9.731	8.423	12.987
10-Jun-1980	9.3	8.278	13.96
17-Jun-1980	9.113	8.127	13.278
24-Jun-1980	9.195	8.012	13.276
01-Jul-1980	9.494	8.03	13.37
08-Jul-1980	9.496	8.041	12.945
15-Jul-1980	9.571	8.024	12.691
22-Jul-1980	9.69	7.924	12.463
29-Jul-1980	9.908	7.783	12.597
05-Aug-1980	10.163	7.873	13.313
12-Aug-1980	10.527	7.697	13.265
19-Aug-1980	10.749	7.87	13.314
26-Aug-1980	10.8	7.943	13.436
02-Sep-1980	11.311	8.107	13.461
09-Sep-1980	11.17	8.136	12.797
16-Sep-1980	11.499	8.272	13.055
23-Sep-1980	11.733	8.218	13.127
30-Sep-1980	11.836	8.426	13.01
07-Oct-1980	11.401	8.156	12.708
14-Oct-1980	11.346	8.224	12.686
21-Oct-1980	11.67	8.355	12.756
28-Oct-1980	12.296	8.614	12.665
04-Nov-1980	12.429	8.678	12.898
11-Nov-1980	12.625	8.847	12.737
18-Nov-1980	12.308	8.71	12.44
25-Nov-1980	12.436	8.663	12.74
02-Dec-1980	12.905	8.569	12.672
09-Dec-1980	13.086	8.646	14.067
16-Dec-1980	13.486	8.941	14.436
23-Dec-1980	12.331	9.039	14.172
30-Dec-1980	12.367	9.023	14.251
06-Jan-1981	12.097	8.869	14.069
13-Jan-1981	12.518	8.901	14.226
20-Jan-1981	12.483	8.999	14.122
27-Jan-1981	12.715	9.032	13.942
03-Feb-1981	12.951	9.206	13.789
10-Feb-1981	13.257	9.657	13.815
17-Feb-1981	13.299	9.798	13.714
24-Feb-1981	13.181	10.175	13.514
03-Mar-1981	13.411	10.445	13.59
10-Mar-1981	13.043	10.234	13.541
17-Mar-1981	12.644	9.975	13.294
24-Mar-1981	13.272	9.865	13.124
31-Mar-1981	13.101	9.993	13.149
07-Apr-1981	13.385	10.028	13.274
14-Apr-1981	13.553	10.08	13.251
21-Apr-1981	13.713	10.063	13.105
28-Apr-1981	13.912	10.046	13.279
05-May-1981	14.651	10.31	13.734
12-May-1981	14.341	10.302	13.866
19-May-1981	13.781	10.338	13.561
26-May-1981	13.596	10.6	13.691
02-Jun-1981	13.572	10.739	14.689
09-Jun-1981	13.358	10.676	15.228
16-Jun-1981	13.073	10.227	14.886
23-Jun-1981	13.545	10.282	14.859
30-Jun-1981	13.85	10.319	14.945
07-Jul-1981	14.018	10.51	15.321
14-Jul-1981	14.135	10.557	15.381
21-Jul-1981	14.596	10.641	15.62
28-Jul-1981	14.517	10.561	15.211
04-Aug-1981	14.931	10.493	15.477
11-Aug-1981	14.324	10.526	15.128
18-Aug-1981	14.628	10.525	14.93
25-Aug-1981	15.259	10.541	15.279
01-Sep-1981	15.395	10.686	15.107
08-Sep-1981	15.574	10.798	15.168
15-Sep-1981	15.067	10.633	15.495
22-Sep-1981	15.022	10.285	15.439
29-Sep-1981	15.742	10.419	15.865
06-Oct-1981	15.115	10.254	15.808
13-Oct-1981	14.806	10.163	15.303
20-Oct-1981	15.071	10.258	15.665
27-Oct-1981	15.523	10.322	15.884
03-Nov-1981	14.563	10.15	15.931
10-Nov-1981	13.438	10.044	15.779
17-Nov-1981	13.272	9.835	15.418
24-Nov-1981	13.206	9.936	15.302
01-Dec-1981	13.357	9.675	15.395
08-Dec-1981	13.483	9.657	15.488
15-Dec-1981	13.532	9.702	15.767
22-Dec-1981	14.003	9.763	15.895
29-Dec-1981	14.096	9.746	15.713
05-Jan-1982	14.417	9.702	15.779
12-Jan-1982	14.588	9.878	15.63
19-Jan-1982	14.768	9.925	15.184
26-Jan-1982	14.507	9.859	14.983
02-Feb-1982	14.439	9.784	15.361
09-Feb-1982	14.848	9.759	15.362
16-Feb-1982	14.481	9.823	15.171
23-Feb-1982	13.875	9.741	14.43
02-Mar-1982	13.708	9.707	14.103
09-Mar-1982	13.637	9.657	13.882
16-Mar-1982	13.875	9.417	13.638
23-Mar-1982	13.685	9.227	13.266
30-Mar-1982	14.16	9.328	13.617
06-Apr-1982	14.141	9.136	14.063
13-Apr-1982	13.797	8.99	13.955
20-Apr-1982	13.693	8.957	13.764
27-Apr-1982	13.668	8.797	13.631
04-May-1982	13.838	8.765	13.526
11-May-1982	13.508	8.778	13.261
18-May-1982	13.631	8.89	13.238
25-May-1982	13.662	8.904	13.268
01-Jun-1982	13.906	8.801	13.035
08-Jun-1982	13.959	9.026	12.857
15-Jun-1982	14.181	9.143	13.042
22-Jun-1982	14.625	9.295	13.152
29-Jun-1982	14.581	9.375	13.129
06-Jul-1982	14.445	9.363	13.113
13-Jul-1982	13.987	9.289	12.813
20-Jul-1982	13.498	9.239	13.381
27-Jul-1982	13.833	9.133	13.333
03-Aug-1982	13.487	9.052	13.071
10-Aug-1982	13.679	9.223	13.141
17-Aug-1982	12.618	9.093	12.207
24-Aug-1982	12.339	8.764	11.481
31-Aug-1982	12.792	8.803	11.901
07-Sep-1982	12.503	8.792	11.772
14-Sep-1982	12.546	8.845	12.006
21-Sep-1982	12.162	8.637	11.833
28-Sep-1982	12.024	8.62	11.494
05-Oct-1982	12.04	8.53	11.888
12-Oct-1982	11.024	8.423	10.661
19-Oct-1982	11.061	8.294	10.602
26-Oct-1982	11.287	8.218	10.822
02-Nov-1982	10.956	8.262	10.43
09-Nov-1982	10.896	8.313	10.573
16-Nov-1982	11.088	8.425	10.888
23-Nov-1982	11.016	8.258	11.271
30-Nov-1982	11.257	8.197	11.426
07-Dec-1982	10.46	7.974	11.345
14-Dec-1982	10.404	8.061	11.461
21-Dec-1982	10.485	8.016	11.34
28-Dec-1982	10.381	7.926	11.161
04-Jan-1983	10.335	7.614	10.926
11-Jan-1983	10.303	7.54	11.574
18-Jan-1983	10.272	7.745	11.452
25-Jan-1983	10.586	7.932	11.592
01-Feb-1983	10.754	7.779	11.489
08-Feb-1983	10.892	7.831	11.267
15-Feb-1983	10.764	7.718	11.941
22-Feb-1983	10.516	7.598	12.214
01-Mar-1983	10.213	7.539	11.457
08-Mar-1983	10.501	7.384	11.218
15-Mar-1983	10.449	7.369	10.982
22-Mar-1983	10.606	7.419	11.234
29-Mar-1983	10.584	7.5	11.292
05-Apr-1983	10.472	7.474	11.016
12-Apr-1983	10.394	7.459	10.727
19-Apr-1983	10.363	7.51	10.763
26-Apr-1983	10.337	7.576	10.686
03-May-1983	10.225	7.62	10.684
10-May-1983	10.18	7.568	10.778
17-May-1983	10.399	7.679	10.815
24-May-1983	10.588	7.77	10.775
31-May-1983	10.854	7.984	10.471
07-Jun-1983	10.832	8.132	11.285
14-Jun-1983	10.747	8.07	11.242
21-Jun-1983	10.769	8.118	11.462
28-Jun-1983	11.013	8.118	11.399
05-Jul-1983	11.185	8.162	11.458
12-Jul-1983	11.41	8.26	11.693
19-Jul-1983	11.321	8.297	11.639
26-Jul-1983	11.453	8.228	11.762
02-Aug-1983	11.742	8.254	11.824
09-Aug-1983	12.004	8.377	11.759
16-Aug-1983	11.584	8.4	11.611
23-Aug-1983	11.397	8.361	11.589
30-Aug-1983	11.71	8.462	11.629
06-Sep-1983	11.835	8.549	11.482
13-Sep-1983	11.582	8.494	11.194
20-Sep-1983	11.549	8.462	10.972
27-Sep-1983	11.407	8.392	10.793
04-Oct-1983	11.426	8.376	10.591
11-Oct-1983	11.537	8.236	10.571
18-Oct-1983	11.457	8.251	11.582
25-Oct-1983	11.665	8.205	11.481
01-Nov-1983	11.654	8.261	11.323
08-Nov-1983	11.816	8.344	11.262
15-Nov-1983	11.681	8.267	11.03
22-Nov-1983	11.557	8.312	10.928
29-Nov-1983	11.59	8.396	10.999
06-Dec-1983	11.73	8.396	11.052
13-Dec-1983	11.92	8.45	11.143
20-Dec-1983	11.831	8.442	11.045
27-Dec-1983	11.712	8.395	10.929
03-Jan-1984	11.825	8.401	10.925
10-Jan-1984	11.689	8.456	10.735
17-Jan-1984	11.548	8.378	10.806
24-Jan-1984	11.595	8.315	10.916
31-Jan-1984	11.638	8.315	10.837
07-Feb-1984	11.681	8.291	10.73
14-Feb-1984	11.818	8.252	10.673
21-Feb-1984	11.878	8.206	10.526
28-Feb-1984	12.073	8.122	10.469
06-Mar-1984	12.063	8.035	10.217
13-Mar-1984	12.238	8.116	10.162
20-Mar-1984	12.407	8.146	11.104
27-Mar-1984	12.437	8.167	11.081
03-Apr-1984	12.613	8.073	11.192
10-Apr-1984	12.486	8.072	11.112
17-Apr-1984	12.534	8.072	11.282
24-Apr-1984	12.713	8.109	11.295
01-May-1984	12.799	8.108	11.295
08-May-1984	13.056	8.176	11.547
15-May-1984	13.446	8.299	11.724
22-May-1984	13.459	8.291	11.782
29-May-1984	13.86	8.298	12.005
05-Jun-1984	13.341	8.229	11.717
12-Jun-1984	13.528	8.259	11.898
19-Jun-1984	13.358	8.228	11.692
26-Jun-1984	13.773	8.228	11.893
03-Jul-1984	13.779	8.21	11.419
10-Jul-1984	13.511	8.209	11.768
17-Jul-1984	13.357	8.246	12.731
24-Jul-1984	13.293	8.268	12.98
31-Jul-1984	12.897	8.268	13.025
07-Aug-1984	12.678	8.229	12.392
14-Aug-1984	12.689	8.145	11.58
21-Aug-1984	12.689	8.062	11.64
28-Aug-1984	12.824	8.046	11.743
04-Sep-1984	12.866	7.972	11.72
11-Sep-1984	12.521	7.919	11.614
18-Sep-1984	12.338	7.889	11.696
25-Sep-1984	12.542	7.851	11.425
02-Oct-1984	12.526	7.821	11.26
09-Oct-1984	12.342	7.595	11.238
16-Oct-1984	12.309	7.565	11.236
23-Oct-1984	11.77	7.463	11.174
30-Oct-1984	11.737	7.476	11.072
06-Nov-1984	11.59	7.274	10.565
13-Nov-1984	11.789	7.294	10.355
20-Nov-1984	11.578	7.294	10.391
27-Nov-1984	11.304	7.121	10.409
04-Dec-1984	11.508	7.064	10.313
11-Dec-1984	11.558	7.077	10.388
18-Dec-1984	11.279	7.061	11.476
25-Dec-1984	11.293	7.032	11.516
01-Jan-1985	11.541	6.999	11.598
08-Jan-1985	11.434	7.034	11.617
15-Jan-1985	11.47	7.185	11.871
22-Jan-1985	11.236	7.112	11.763
29-Jan-1985	11.089	7.236	12.175
05-Feb-1985	11.282	7.465	11.889
12-Feb-1985	11.398	7.73	11.953
19-Feb-1985	11.382	7.586	11.779
26-Feb-1985	11.739	7.784	11.811
05-Mar-1985	11.85	7.743	11.628
12-Mar-1985	11.765	7.705	11.479
19-Mar-1985	11.978	7.615	11.436
26-Mar-1985	11.748	7.488	11.309
02-Apr-1985	11.681	7.407	11.225
09-Apr-1985	11.637	7.392	11.204
16-Apr-1985	11.231	7.245	10.856
23-Apr-1985	11.231	7.23	10.794
30-Apr-1985	11.396	7.273	10.894
07-May-1985	11.143	7.317	10.996
14-May-1985	10.881	7.187	10.987
21-May-1985	10.588	7.094	10.871
28-May-1985	10.414	7.135	10.829
04-Jun-1985	10.034	7.048	10.538
11-Jun-1985	10.066	7.069	10.58
18-Jun-1985	9.892	7.061	11.353
25-Jun-1985	10.49	7.024	11.353
02-Jul-1985	10.183	6.963	11.221
09-Jul-1985	10.04	6.884	11.003
16-Jul-1985	10.136	6.877	10.81
23-Jul-1985	10.446	6.833	10.789
30-Jul-1985	10.642	6.847	10.641
06-Aug-1985	10.626	6.755	10.81
13-Aug-1985	10.519	6.663	10.598
20-Aug-1985	10.269	6.53	10.661
27-Aug-1985	10.194	6.426	10.535
03-Sep-1985	10.224	6.439	10.535
10-Sep-1985	10.457	6.459	10.661
17-Sep-1985	10.395	6.403	10.452
24-Sep-1985	10.309	6.367	10.348
01-Oct-1985	10.268	6.387	10.286
08-Oct-1985	10.349	6.504	10.265
15-Oct-1985	10.287	6.687	10.214
22-Oct-1985	10.106	6.531	10.163
29-Oct-1985	10.085	6.801	10.265
05-Nov-1985	9.896	6.583	10.204
12-Nov-1985	9.693	6.639	10.349
19-Nov-1985	9.688	6.639	10.245
26-Nov-1985	9.722	6.561	10.122
03-Dec-1985	9.671	6.567	10.772
10-Dec-1985	9.35	6.56	10.915
17-Dec-1985	9.023	6.419	10.854
24-Dec-1985	9.06	6.37	10.822
31-Dec-1985	8.987	6.3	10.781
07-Jan-1986	8.915	6.341	11.003
14-Jan-1986	9.405	6.34	11.23
21-Jan-1986	9.2	6.298	11.188
28-Jan-1986	9.021	6.27	11.007
04-Feb-1986	8.925	6.326	11.494
11-Feb-1986	8.947	6.318	11.336
18-Feb-1986	8.693	6.276	11.067
25-Feb-1986	8.455	6.05	10.674
04-Mar-1986	7.926	5.866	10.384
11-Mar-1986	7.689	5.746	9.92
18-Mar-1986	7.821	5.738	9.899
25-Mar-1986	7.689	5.718	9.624
01-Apr-1986	7.357	5.349	9.199
08-Apr-1986	7.292	5.462	9.04
15-Apr-1986	7.201	5.365	9.018
22-Apr-1986	7.232	5.331	8.787
29-Apr-1986	7.369	5.387	8.96
06-May-1986	7.44	5.559	9.013
13-May-1986	7.702	5.855	9.252
20-May-1986	7.945	5.989	9.23
27-May-1986	7.818	5.84	9.177
03-Jun-1986	8.179	6.132	9.284
10-Jun-1986	8.055	5.831	9.296
17-Jun-1986	7.615	5.67	9.435
24-Jun-1986	7.465	5.897	9.337
01-Jul-1986	7.356	5.776	9.485
08-Jul-1986	7.429	5.756	9.413
15-Jul-1986	7.15	5.83	9.736
22-Jul-1986	7.185	5.748	9.82
29-Jul-1986	7.401	5.782	9.746
05-Aug-1986	7.379	5.653	9.725
12-Aug-1986	7.221	5.632	9.704
19-Aug-1986	7.012	5.632	9.595
26-Aug-1986	6.954	5.491	9.609
02-Sep-1986	7.006	5.511	9.61
09-Sep-1986	7.33	5.801	10.013
16-Sep-1986	7.509	5.87	10.359
23-Sep-1986	7.556	5.883	10.735
30-Sep-1986	7.432	6.037	11.162
07-Oct-1986	7.257	6.004	11.141
14-Oct-1986	7.461	6.131	11.139
21-Oct-1986	7.541	6.274	11.175
28-Oct-1986	7.425	6.296	11.168
04-Nov-1986	7.286	6.297	11.167
11-Nov-1986	7.454	6.233	11.247
18-Nov-1986	7.323	6.255	11.469
25-Nov-1986	7.217	6.028	11.527
02-Dec-1986	7.076	6.014	11.467
09-Dec-1986	7.058	5.902	11.397
16-Dec-1986	7.11	6.001	11.234
23-Dec-1986	7.07	5.98	10.976
30-Dec-1986	7.22	5.952	10.822
06-Jan-1987	7.064	6.014	10.539
13-Jan-1987	7.081	5.98	10.526
20-Jan-1987	6.997	5.853	10.335
27-Jan-1987	7.142	5.898	10.359
03-Feb-1987	7.228	5.82	10.41
10-Feb-1987	7.314	5.853	10.229
17-Feb-1987	7.318	6.021	10.216
24-Feb-1987	7.164	6.04	9.901
03-Mar-1987	7.195	5.967	9.714
10-Mar-1987	7.213	6.008	9.39
17-Mar-1987	7.181	5.946	9.286
24-Mar-1987	7.245	5.755	8.999
31-Mar-1987	7.489	5.68	9.306
07-Apr-1987	7.598	5.591	9.183
14-Apr-1987	8.258	5.735	9.486
21-Apr-1987	8.165	5.662	9.319
28-Apr-1987	8.257	5.614	9.127
05-May-1987	8.43	5.528	8.887
12-May-1987	8.539	5.501	8.881
19-May-1987	8.966	5.539	8.984
26-May-1987	8.708	5.538	9.246
02-Jun-1987	8.719	5.65	8.788
09-Jun-1987	8.55	5.669	8.732
16-Jun-1987	8.274	5.892	8.835
23-Jun-1987	8.228	6.065	9.221
30-Jun-1987	8.371	5.988	9.192
07-Jul-1987	8.269	6.125	9.134
14-Jul-1987	8.319	6.112	9.125
21-Jul-1987	8.484	6.263	9.072
28-Jul-1987	8.604	6.329	9.561
04-Aug-1987	8.808	6.444	9.86
11-Aug-1987	8.716	6.543	10.012
18-Aug-1987	8.755	6.303	9.971
25-Aug-1987	8.761	6.338	10.244
01-Sep-1987	9.069	6.451	10.279
08-Sep-1987	9.455	6.747	10.091
15-Sep-1987	9.44	6.616	10.205
22-Sep-1987	9.355	6.733	9.918
29-Sep-1987	9.623	6.859	10.235
06-Oct-1987	9.728	6.864	10.198
13-Oct-1987	9.889	7.041	10.124
20-Oct-1987	9.415	7.042	10.125
27-Oct-1987	8.915	6.763	9.619
03-Nov-1987	8.895	6.418	9.742
10-Nov-1987	8.798	6.315	9.161
17-Nov-1987	8.901	6.355	9.513
24-Nov-1987	8.936	6.244	9.587
01-Dec-1987	8.995	6.312	9.444
08-Dec-1987	9.092	6.407	9.647
15-Dec-1987	9.058	6.518	9.888
22-Dec-1987	8.936	6.413	9.773
29-Dec-1987	8.825	6.447	9.614
05-Jan-1988	8.743	6.376	9.811
12-Jan-1988	8.921	6.615	9.93
19-Jan-1988	8.628	6.522	9.78
26-Jan-1988	8.528	6.43	9.671
02-Feb-1988	8.18	6.332	9.611
09-Feb-1988	8.193	6.276	9.754
16-Feb-1988	8.344	6.282	9.753
23-Feb-1988	8.196	6.246	9.52
01-Mar-1988	8.144	6.201	9.33
08-Mar-1988	8.307	6.242	9.3
15-Mar-1988	8.284	6.2	9.194
22-Mar-1988	8.445	6.234	9.367
29-Mar-1988	8.536	6.233	9.347
05-Apr-1988	8.653	6.234	9.211
12-Apr-1988	8.571	6.227	9.2
19-Apr-1988	8.832	6.247	9.147
26-Apr-1988	8.773	6.373	9.477
03-May-1988	8.888	6.494	9.768
10-May-1988	9.06	6.645	9.734
17-May-1988	9.154	6.523	9.704
24-May-1988	9.243	6.646	9.657
31-May-1988	9.198	6.646	9.723
07-Jun-1988	9.013	6.538	9.739
14-Jun-1988	8.688	6.495	9.625
21-Jun-1988	9.032	6.633	9.844
28-Jun-1988	8.863	6.67	10.111
05-Jul-1988	8.815	6.617	10.06
12-Jul-1988	9.08	6.702	10.152
19-Jul-1988	9.085	6.81	10.192
26-Jul-1988	9.076	6.824	10.147
02-Aug-1988	8.978	6.759	10.098
09-Aug-1988	9.185	6.716	10.073
16-Aug-1988	9.359	6.81	10.216
23-Aug-1988	9.326	6.862	10.263
30-Aug-1988	9.251	6.738	10.436
06-Sep-1988	8.978	6.647	10.409
13-Sep-1988	8.92	6.661	10.386
20-Sep-1988	8.939	6.611	10.331
27-Sep-1988	9.034	6.618	10.211
04-Oct-1988	8.853	6.557	10.153
11-Oct-1988	8.734	6.479	9.963
18-Oct-1988	8.752	6.382	9.88
25-Oct-1988	8.808	6.36	9.96
01-Nov-1988	8.662	6.27	9.782
08-Nov-1988	8.874	6.338	9.897
15-Nov-1988	8.946	6.365	10.033
22-Nov-1988	9.086	6.357	10.058
29-Nov-1988	9.14	6.447	10.366
06-Dec-1988	8.896	6.471	10.287
13-Dec-1988	9.159	6.541	10.428
20-Dec-1988	9.08	6.485	10.282
27-Dec-1988	9.148	6.527	10.242
03-Jan-1989	9.218	6.626	9.991
10-Jan-1989	9.223	6.648	9.95
17-Jan-1989	9.065	6.64	9.788
24-Jan-1989	8.943	6.619	9.578
31-Jan-1989	8.986	6.69	9.558
07-Feb-1989	8.967	6.774	9.488
14-Feb-1989	9.274	6.81	9.517
21-Feb-1989	9.249	6.868	9.626
28-Feb-1989	9.295	6.948	9.828
07-Mar-1989	9.269	6.86	9.686
14-Mar-1989	9.313	6.968	9.716
21-Mar-1989	9.515	6.99	9.787
28-Mar-1989	9.414	6.954	9.859
04-Apr-1989	9.154	6.911	9.947
11-Apr-1989	9.268	6.91	10.098
18-Apr-1989	9.065	6.86	9.984
25-Apr-1989	9.104	6.809	10.094
02-May-1989	9.07	6.88	10.037
09-May-1989	9.164	6.944	10.049
16-May-1989	8.83	6.994	10.029
23-May-1989	8.652	7.001	10.167
30-May-1989	8.681	7	10.168
06-Jun-1989	8.35	6.882	10.481
13-Jun-1989	8.267	6.796	10.593
20-Jun-1989	8.311	6.683	10.386
27-Jun-1989	8.085	6.745	10.181
04-Jul-1989	8.08	6.667	10.128
11-Jul-1989	7.959	6.659	10.08
18-Jul-1989	8.131	6.708	9.974
25-Jul-1989	8.005	6.665	9.974
01-Aug-1989	7.757	6.571	10.017
08-Aug-1989	7.998	6.626	10.002
15-Aug-1989	8.203	6.696	9.982
22-Aug-1989	8.33	6.781	9.904
29-Aug-1989	8.311	6.809	10.05
05-Sep-1989	8.176	6.845	10.208
12-Sep-1989	8.129	6.91	10.243
19-Sep-1989	8.087	6.917	10.289
26-Sep-1989	8.275	6.961	10.457
03-Oct-1989	8.205	6.977	10.565
10-Oct-1989	8.031	6.941	10.691
17-Oct-1989	8.017	7.026	10.473
24-Oct-1989	7.878	7.011	10.457
31-Oct-1989	7.911	7.068	10.518
07-Nov-1989	7.874	7.244	10.373
14-Nov-1989	7.906	7.369	10.316
21-Nov-1989	7.892	7.398	10.472
28-Nov-1989	7.897	7.354	10.533
05-Dec-1989	7.821	7.265	10.6
12-Dec-1989	7.834	7.25	10.429
19-Dec-1989	7.769	7.169	10.313
26-Dec-1989	7.902	7.206	10.235
02-Jan-1990	7.934	7.426	10.332
09-Jan-1990	8.013	7.485	10.539
16-Jan-1990	8.206	7.578	10.784
23-Jan-1990	8.365	7.714	11.034
30-Jan-1990	8.507	7.623	10.929
06-Feb-1990	8.583	7.909	11.039
13-Feb-1990	8.407	8.522	11.063
20-Feb-1990	8.684	8.934	11.348
27-Feb-1990	8.458	8.621	11.251
06-Mar-1990	8.57	8.97	11.949
13-Mar-1990	8.722	8.9	12.132
20-Mar-1990	8.54	8.745	12.166
27-Mar-1990	8.516	8.477	12.226
03-Apr-1990	8.63	8.404	12.04
10-Apr-1990	8.634	8.679	12.137
17-Apr-1990	8.745	8.666	12.396
24-Apr-1990	8.981	8.83	12.477
01-May-1990	9.066	8.806	12.777
08-May-1990	8.838	8.467	12.329
15-May-1990	8.682	8.62	12.129
22-May-1990	8.687	8.784	11.612
29-May-1990	8.663	8.732	11.86
05-Jun-1990	8.461	8.648	11.649
12-Jun-1990	8.479	8.821	11.609
19-Jun-1990	8.504	8.83	11.491
26-Jun-1990	8.545	8.714	11.25
03-Jul-1990	8.392	8.636	11.528
10-Jul-1990	8.561	8.704	11.666
17-Jul-1990	8.432	8.489	11.475
24-Jul-1990	8.534	8.503	11.466
31-Jul-1990	8.338	8.487	11.455
07-Aug-1990	8.745	8.887	11.863
14-Aug-1990	8.671	8.813	11.878
21-Aug-1990	8.854	8.956	12.115
28-Aug-1990	8.957	8.866	11.858
04-Sep-1990	8.892	9.014	11.773
11-Sep-1990	8.796	8.946	11.725
18-Sep-1990	8.902	9.037	11.815
25-Sep-1990	8.999	9.104	11.774
02-Oct-1990	8.681	8.976	11.909
09-Oct-1990	8.81	9.065	11.507
16-Oct-1990	8.781	9.078	11.632
23-Oct-1990	8.666	8.978	11.543
30-Oct-1990	8.69	8.994	11.483
06-Nov-1990	8.505	9.01	11.417
13-Nov-1990	8.387	8.962	11.407
20-Nov-1990	8.326	8.858	11.204
27-Nov-1990	8.302	8.821	10.919
04-Dec-1990	8.2	8.853	10.797
11-Dec-1990	7.936	8.747	10.629
18-Dec-1990	7.989	8.735	10.751
25-Dec-1990	8.193	8.912	10.875
01-Jan-1991	8.073	8.998	10.946
08-Jan-1991	8.155	8.97	10.686
15-Jan-1991	8.214	9.023	10.724
22-Jan-1991	8.061	8.909	10.39
29-Jan-1991	8.024	8.708	10.363
05-Feb-1991	7.841	8.474	10.224
12-Feb-1991	7.813	8.432	10.137
19-Feb-1991	7.853	8.192	9.99
26-Feb-1991	8.016	8.303	10.131
05-Mar-1991	8.082	8.387	10.237
12-Mar-1991	8.087	8.322	10.196
19-Mar-1991	8.248	8.47	10.361
26-Mar-1991	8.124	8.503	10.247
02-Apr-1991	8.021	8.419	10.129
09-Apr-1991	8.021	8.22	10.088
16-Apr-1991	7.96	8.287	10.169
23-Apr-1991	8.111	8.376	10.22
30-Apr-1991	8.016	8.34	10.241
07-May-1991	8.054	8.356	10.2
14-May-1991	8.178	8.406	10.387
21-May-1991	8.078	8.379	10.356
28-May-1991	8.088	8.308	10.357
04-Jun-1991	8.134	8.311	10.515
11-Jun-1991	8.275	8.348	10.484
18-Jun-1991	8.308	8.356	10.528
25-Jun-1991	8.318	8.349	10.604
02-Jul-1991	8.257	8.531	10.465
09-Jul-1991	8.352	8.561	10.234
16-Jul-1991	8.257	8.547	10.214
23-Jul-1991	8.301	8.631	10.221
30-Jul-1991	8.189	8.676	10.157
06-Aug-1991	7.957	8.577	10.026
13-Aug-1991	7.934	8.547	10.062
20-Aug-1991	7.832	8.591	10.004
27-Aug-1991	7.93	8.504	9.972
03-Sep-1991	7.796	8.389	9.807
10-Sep-1991	7.714	8.401	9.695
17-Sep-1991	7.606	8.401	9.603
24-Sep-1991	7.552	8.43	9.562
01-Oct-1991	7.44	8.34	9.532
08-Oct-1991	7.412	8.278	9.653
15-Oct-1991	7.443	8.242	9.737
22-Oct-1991	7.658	8.329	9.87
