Date	European Union	Germany	North America	OECD members	United Kingdom	United States	World
1960	69.27954395	69.31295122	69.89360376	67.34396417	71.12682927	69.77073171	52.49984193
1961	69.58937012	69.50995122	70.36801738	67.74109372	70.87804878	70.27073171	53.00438035
1962	69.51456838	69.6925122	70.2327068	67.75005122	70.92682927	70.1195122	53.47180961
1963	69.75930074	69.86009756	70.05038739	67.9701935	70.82682927	69.91707317	54.09744834
1964	70.22603602	70.01370732	70.31320505	68.37106894	71.62439024	70.16585366	54.91300398
1965	70.33689557	70.15182927	70.36672191	68.49905117	71.62439024	70.21463415	55.74581242
1966	70.56733338	70.27092683	70.37807047	68.77441698	71.57317073	70.21219512	56.655524
1967	70.67725898	70.3735122	70.71438226	69.01252204	72.12439024	70.56097561	57.5165205
1968	70.72345628	70.46509756	70.17624157	68.98026788	71.72439024	69.95121951	58.22903381
1969	70.67886356	70.55068293	70.69476442	69.18254656	71.72195122	70.50731707	58.89872151
1970	70.99791646	70.63978049	70.9854796	69.50925894	71.97317073	70.80731707	59.49134589
1971	71.10600402	70.74287805	71.28874087	69.79005689	72.27317073	71.10731707	59.96766169
1972	71.41381445	70.867	71.32471392	70.08568382	72.12439024	71.15609756	60.36938976
1973	71.53396097	71.01668293	71.52859423	70.26888697	72.32439024	71.35609756	60.7161869
1974	71.82454607	71.19541463	72.07943102	70.68432511	72.52439024	71.95609756	61.10170099
1975	71.92026866	71.40173171	72.69384248	71.03663905	72.72439024	72.60487805	61.43967758
1976	72.12487553	71.63414634	72.95345922	71.31232017	72.77560976	72.85609756	61.76139177
1977	72.4087402	71.88368293	73.34966017	71.67630699	73.22439024	73.25609756	62.09457985
1978	72.52419966	72.14280488	73.47048383	71.85545515	73.17560976	73.35609756	62.37724559
1979	72.7683244	72.40853659	73.9082308	72.19846647	73.27560976	73.80487805	62.67420088
1980	72.86270491	72.67790244	73.79684475	72.26538229	73.67560976	73.65853659	62.91361679
1981	73.20235556	72.95239024	74.1513354	72.62356194	74.02682927	74.00731707	63.21731861
1982	73.46395521	73.23097561	74.49043746	72.96251187	74.17804878	74.36097561	63.51872804
1983	73.52753686	73.51214634	74.61786298	73.09629249	74.37804878	74.46341463	63.75038235
1984	73.80302003	73.79285366	74.73580628	73.38995031	74.77804878	74.56341463	64.00546755
1985	73.87723904	74.06453659	74.73448283	73.53198506	74.62926829	74.56341463	64.25855729
1986	74.14497751	74.32163415	74.79422574	73.78900478	74.92926829	74.61463415	64.56223106
1987	74.38688949	74.55960976	74.96076821	74.07960071	75.2804878	74.76585366	64.82513117
1988	74.57457691	74.77895122	74.96835495	74.22540693	75.3804878	74.76585366	65.04486935
1989	74.73760163	74.98268293	75.22162201	74.49584871	75.58292683	75.01707317	65.27911494
1990	74.85906597	75.17736585	75.43126468	74.67814005	75.8804878	75.21463415	65.48884712
1991	74.96750366	75.3195122	75.58472222	74.87787948	76.08292683	75.36585366	65.68676208
1992	75.28669043	75.8195122	75.8101444	75.16454578	76.43414634	75.64219512	65.85642582
1993	75.39361543	75.87073171	75.64574496	75.28439666	76.38536585	75.4195122	65.97867189
1994	75.68943023	76.27073171	75.80227054	75.58095073	76.88536585	75.57439024	66.17806743
1995	75.81365775	76.42195122	75.85584528	75.70000451	76.83658537	75.62195122	66.38119658
1996	76.06588486	76.67317073	76.21822257	76.06454836	77.08780488	75.99658537	66.65273302
1997	76.35912911	77.07317073	76.63251134	76.41014755	77.21097561	76.42926829	66.94208314
1998	76.59392231	77.47560976	76.78621881	76.62050215	77.1902439	76.5804878	67.186424
1999	76.82386118	77.72682927	76.80954808	76.80194788	77.3902439	76.58292683	67.42859476
2000	77.15763117	77.92682927	76.89243196	77.08322334	77.74146341	76.63658537	67.70487781
2001	77.49279744	78.32926829	77.00732664	77.36505696	77.99268293	76.73658537	68.00325308
2002	77.60565463	78.22926829	77.10751133	77.5261245	78.14390244	76.83658537	68.25980437
2003	77.69311811	78.3804878	77.26868497	77.68731807	78.44634146	76.98780488	68.52071962
2004	78.19240633	78.6804878	77.61525412	78.08054901	78.74634146	77.33902439	68.83205345
2005	78.36405728	78.93170732	77.63035437	78.21029507	79.04878049	77.33902439	69.07394499
2006	78.73790213	79.13170732	77.88876568	78.53423124	79.24878049	77.58780488	69.3811094
2007	78.96831811	79.53414634	78.08830499	78.74636084	79.44878049	77.83902439	69.65859386
2008	79.18321462	79.73658537	78.19587646	78.91966568	79.6	77.93902439	69.91721951
2009	79.44123634	79.83658537	78.34995445	79.13712607	80.05121951	78.0902439	70.2009274
2010	79.72592245	79.98780488	78.77450307	79.39857718	80.40243902	78.54146341	70.4711611
2011	80.29969434	80.74146341	78.8827233	79.66554196	80.95121951	78.64146341	70.7473748
2012	80.31371947	80.89268293	78.99067409	79.79538758	80.90487805	78.74146341	70.98226959
2013	80.38426187	81.04390244	79.09764889	79.92197388	80.95609756	78.84146341	71.20961469